frame,timestamp_sec,track_id,x_center,y_center,x1,y1,x2,y2
0,0.0,1,1525.8,433.9,1431.4,251.8,1620.3,616.0
0,0.0,2,883.6,706.6,750.9,493.0,1016.4,920.1
1,0.033,1,1525.8,433.9,1431.4,251.8,1620.3,616.0
1,0.033,2,883.6,706.6,750.9,493.0,1016.3,920.1
2,0.067,1,1525.8,433.9,1431.4,251.8,1620.3,616.0
2,0.067,2,883.6,706.6,750.9,493.0,1016.3,920.1
3,0.1,1,1526.1,434.1,1431.6,252.0,1620.6,616.2
3,0.1,2,883.9,705.7,751.3,492.2,1016.5,919.1
4,0.133,1,1526.5,434.1,1431.8,251.7,1621.1,616.4
4,0.133,2,884.6,705.4,752.0,491.7,1017.3,919.1
5,0.167,1,1526.4,434.7,1432.0,253.0,1620.7,616.4
5,0.167,2,885.5,704.6,753.2,491.2,1017.7,917.9
6,0.2,1,1526.6,434.9,1432.4,253.4,1620.8,616.4
6,0.2,2,892.0,703.7,759.9,491.0,1024.2,916.5
7,0.234,1,1526.7,435.0,1432.5,253.6,1620.8,616.4
7,0.234,2,894.3,703.5,762.1,490.9,1026.6,916.0
8,0.267,1,1526.8,435.2,1432.8,254.1,1620.9,616.4
8,0.267,2,895.1,703.5,762.5,490.2,1027.8,916.7
9,0.3,1,1527.5,435.1,1433.3,253.8,1621.7,616.4
9,0.3,2,898.3,701.2,766.4,489.3,1030.3,913.2
10,0.334,1,1527.3,435.0,1432.9,253.3,1621.7,616.6
10,0.334,2,900.6,699.4,769.2,488.4,1032.0,910.3
11,0.367,1,1526.9,434.8,1432.5,253.1,1621.4,616.5
11,0.367,2,902.1,698.0,771.1,487.9,1033.0,908.1
12,0.4,1,1527.2,434.8,1432.7,253.1,1621.7,616.5
12,0.4,2,901.8,696.9,771.5,487.7,1032.1,906.2
13,0.434,1,1526.7,434.6,1431.6,251.8,1621.8,617.3
13,0.434,2,901.7,696.6,771.7,487.6,1031.7,905.5
14,0.467,1,1526.2,434.6,1430.8,251.5,1621.5,617.7
14,0.467,2,902.9,696.2,772.9,487.0,1032.9,905.4
15,0.501,1,1525.9,434.7,1430.3,251.2,1621.6,618.2
15,0.501,2,897.9,696.0,769.1,487.1,1026.7,904.8
16,0.534,1,1526.4,434.6,1431.2,252.0,1621.6,617.2
16,0.534,2,894.1,696.4,766.7,487.5,1021.5,905.3
17,0.567,1,1526.9,434.1,1431.8,251.6,1622.1,616.5
17,0.567,2,895.9,694.5,769.8,485.7,1022.0,903.4
18,0.601,1,1527.1,434.0,1432.2,252.0,1622.0,616.0
18,0.601,2,893.4,694.3,769.3,485.7,1017.5,902.9
19,0.634,1,1527.1,433.9,1432.3,252.1,1622.0,615.8
19,0.634,2,892.4,694.3,770.0,485.8,1014.8,902.7
20,0.667,1,1527.1,433.8,1432.1,251.7,1622.0,615.9
20,0.667,2,894.0,692.6,773.6,485.0,1014.4,900.1
21,0.701,1,1527.1,433.8,1432.1,251.4,1622.1,616.1
21,0.701,2,897.8,692.0,778.7,485.1,1016.9,898.9
22,0.734,1,1527.2,433.9,1432.3,251.6,1622.1,616.2
22,0.734,2,897.3,690.1,779.1,482.2,1015.6,898.0
23,0.767,1,1527.3,434.2,1432.6,252.2,1622.0,616.2
23,0.767,2,897.3,688.7,780.3,480.7,1014.3,896.7
24,0.801,1,1527.1,434.4,1432.6,252.5,1621.6,616.2
24,0.801,2,898.3,688.2,782.3,479.8,1014.2,896.5
25,0.834,1,1527.1,434.4,1432.7,252.7,1621.5,616.2
25,0.834,2,898.6,688.1,783.7,479.6,1013.5,896.6
26,0.868,1,1527.4,434.5,1433.1,252.8,1621.7,616.2
26,0.868,2,899.2,688.1,785.5,479.7,1013.0,896.5
27,0.901,1,1527.3,434.6,1433.1,253.0,1621.6,616.2
27,0.901,2,903.0,688.0,790.0,480.2,1015.9,895.8
28,0.934,1,1527.5,434.5,1433.4,253.0,1621.7,616.0
28,0.934,2,904.5,687.8,792.4,480.6,1016.7,894.9
29,0.968,1,1526.7,434.2,1432.5,252.4,1620.8,615.9
29,0.968,2,910.5,687.3,798.3,480.8,1022.7,893.8
30,1.001,1,1525.9,434.3,1432.1,252.9,1619.8,615.8
30,1.001,2,910.9,687.7,798.6,480.9,1023.2,894.5
31,1.034,1,1525.7,434.4,1432.0,253.0,1619.3,615.7
31,1.034,2,910.9,687.9,798.6,481.0,1023.2,894.8
32,1.068,1,1525.4,434.6,1432.0,253.4,1618.7,615.7
32,1.068,2,915.5,689.0,802.7,482.6,1028.3,895.3
33,1.101,1,1525.5,435.0,1432.4,254.1,1618.6,615.8
33,1.101,2,910.8,690.4,798.4,483.8,1023.2,896.9
34,1.134,1,1526.1,435.2,1433.0,254.4,1619.3,616.0
34,1.134,2,910.0,690.8,797.9,484.3,1022.1,897.3
35,1.168,1,1526.5,435.3,1433.4,254.6,1619.7,616.1
35,1.168,2,915.0,691.7,802.5,485.6,1027.6,897.9
36,1.201,1,1526.9,435.4,1433.6,254.5,1620.2,616.2
36,1.201,2,912.7,692.6,801.3,487.3,1024.1,897.8
37,1.235,1,1527.0,435.4,1433.7,254.4,1620.4,616.3
37,1.235,2,911.8,692.9,801.2,487.9,1022.4,897.8
38,1.268,1,1525.5,435.7,1432.4,255.1,1618.6,616.2
38,1.268,2,925.9,692.0,814.4,487.9,1037.5,896.2
39,1.301,1,1524.9,435.6,1431.7,255.0,1618.2,616.3
39,1.301,2,931.1,691.0,819.2,488.7,1043.1,893.4
40,1.335,1,1524.6,435.6,1431.4,255.0,1617.8,616.2
40,1.335,2,928.3,690.3,817.0,490.2,1039.5,890.4
41,1.368,1,1525.0,435.6,1431.7,255.0,1618.2,616.3
41,1.368,2,935.2,689.1,823.2,490.8,1047.1,887.4
42,1.401,1,1524.7,435.5,1431.4,254.8,1617.9,616.3
42,1.401,2,933.9,689.8,821.5,492.6,1046.3,887.0
43,1.435,1,1524.5,435.5,1431.2,254.7,1617.8,616.3
43,1.435,2,933.3,690.1,820.1,493.3,1046.6,886.9
44,1.468,1,1523.6,435.5,1430.3,254.6,1616.9,616.4
44,1.468,2,941.0,690.4,826.5,494.8,1055.4,886.1
45,1.502,1,1524.9,435.8,1431.6,255.0,1618.2,616.6
45,1.502,2,934.6,689.1,820.9,496.0,1048.3,882.2
46,1.535,1,1524.4,436.2,1431.3,255.8,1617.6,616.6
46,1.535,2,932.4,688.1,819.1,496.7,1045.7,879.5
47,1.568,1,1524.8,436.5,1431.6,256.2,1618.1,616.8
47,1.568,2,941.2,687.6,827.9,498.2,1054.6,877.1
48,1.602,1,1524.1,436.3,1430.6,255.6,1617.6,617.0
48,1.602,2,944.7,688.9,831.9,501.6,1057.4,876.1
49,1.635,1,1523.8,436.2,1430.1,255.4,1617.5,617.0
49,1.635,2,945.9,689.4,832.9,502.9,1059.0,875.8
50,1.668,1,1524.8,436.4,1431.1,255.5,1618.5,617.2
50,1.668,2,946.0,690.9,833.3,506.1,1058.6,875.8
51,1.702,1,1524.9,436.6,1431.3,256.1,1618.5,617.2
51,1.702,2,948.7,691.3,835.7,507.1,1061.7,875.5
52,1.735,1,1526.2,436.4,1432.4,255.5,1620.0,617.3
52,1.735,2,955.2,692.2,841.7,508.8,1068.7,875.5
53,1.768,1,1527.1,436.4,1433.3,255.8,1620.8,617.0
53,1.768,2,959.0,691.6,844.7,508.5,1073.3,874.8
54,1.802,1,1526.2,436.6,1432.6,256.3,1619.8,616.9
54,1.802,2,964.6,691.5,848.9,508.1,1080.3,874.9
55,1.835,1,1526.2,436.7,1432.7,256.5,1619.7,616.9
55,1.835,2,966.6,691.4,849.7,507.9,1083.5,874.8
56,1.869,1,1525.5,436.1,1431.9,255.7,1619.1,616.6
56,1.869,2,970.7,691.2,853.0,508.6,1088.3,873.8
57,1.902,1,1526.8,436.2,1433.3,256.4,1620.2,616.0
57,1.902,2,974.5,691.1,855.8,508.8,1093.2,873.4
58,1.935,1,1526.8,435.4,1433.5,255.6,1620.2,615.2
58,1.935,2,973.6,689.7,854.7,508.2,1092.5,871.2
59,1.969,1,1527.1,435.5,1433.9,255.7,1620.4,615.3
59,1.969,2,976.5,689.1,858.1,510.6,1094.8,867.7
60,2.002,1,1528.8,435.9,1435.3,255.9,1622.3,615.9
60,2.002,2,978.7,689.4,859.7,511.3,1097.8,867.5
61,2.035,1,1529.4,436.1,1435.7,256.0,1623.1,616.2
61,2.035,2,979.5,689.5,859.7,511.5,1099.3,867.4
62,2.069,1,1528.8,436.5,1435.5,257.8,1622.0,615.3
62,2.069,2,989.0,688.1,867.7,510.8,1110.3,865.5
63,2.102,1,1527.7,437.2,1434.3,258.1,1621.1,616.3
63,2.102,2,993.5,687.7,870.1,509.8,1116.8,865.7
64,2.135,1,1528.9,438.0,1435.4,259.1,1622.5,616.8
64,2.135,2,997.0,688.8,871.2,509.1,1122.7,868.6
65,2.169,1,1534.3,439.6,1440.7,262.7,1627.8,616.5
65,2.169,2,1000.7,688.5,874.0,508.5,1127.4,868.6
66,2.202,1,1538.6,439.4,1444.0,262.8,1633.2,616.1
66,2.202,2,1001.2,686.2,875.0,506.7,1127.4,865.8
67,2.236,1,1540.8,439.1,1444.9,262.1,1636.7,616.0
67,2.236,2,1001.0,685.2,875.1,506.0,1126.8,864.5
68,2.269,1,1537.1,440.3,1441.6,264.8,1632.6,615.7
68,2.269,2,1012.8,683.7,885.0,502.9,1140.7,864.4
69,2.302,1,1534.2,441.2,1438.9,266.7,1629.4,615.8
69,2.302,2,1016.5,680.2,888.0,498.8,1145.0,861.7
70,2.336,1,1533.0,441.1,1437.4,266.4,1628.5,615.9
70,2.336,2,1025.2,677.6,896.8,497.4,1153.7,857.9
71,2.369,1,1536.3,441.9,1439.9,267.2,1632.7,616.6
71,2.369,2,1030.7,676.1,902.6,496.8,1158.8,855.4
72,2.402,1,1540.1,442.0,1442.6,267.4,1637.5,616.6
72,2.402,2,1037.8,674.5,909.4,495.7,1166.2,853.2
73,2.436,1,1541.4,442.0,1442.9,267.4,1639.9,616.6
73,2.436,2,1040.3,673.9,911.4,495.4,1169.2,852.4
74,2.469,1,1544.0,441.0,1443.5,264.8,1644.6,617.3
74,2.469,2,1043.2,672.4,913.4,493.4,1173.0,851.4
75,2.502,1,1545.5,442.3,1444.6,267.3,1646.5,617.3
75,2.502,2,1043.6,673.1,913.1,492.4,1174.1,853.8
76,2.536,1,1545.6,444.5,1444.4,270.9,1646.9,618.1
76,2.536,2,1046.8,673.8,916.5,492.3,1177.2,855.2
77,2.569,1,1543.0,444.0,1440.3,268.8,1645.6,619.3
77,2.569,2,1050.6,672.6,920.7,491.1,1180.5,854.1
78,2.603,1,1544.3,445.2,1441.3,271.1,1647.2,619.2
78,2.603,2,1054.5,671.4,925.5,490.2,1183.4,852.6
79,2.636,1,1544.7,445.5,1441.1,271.9,1648.2,619.0
79,2.636,2,1055.8,671.0,927.6,489.8,1184.0,852.2
80,2.669,1,1542.7,444.8,1438.4,270.9,1646.9,618.8
80,2.669,2,1060.6,672.9,932.3,491.2,1189.0,854.6
81,2.703,1,1535.5,442.9,1430.3,266.3,1640.7,619.5
81,2.703,2,1068.4,674.2,939.0,490.8,1197.8,857.6
82,2.736,1,1539.8,443.5,1434.4,267.7,1645.2,619.3
82,2.736,2,1071.0,674.2,942.0,490.6,1200.1,857.8
83,2.769,1,1538.3,443.4,1431.8,265.8,1644.7,621.0
