frame,timestamp_sec,track_id,x_center,y_center,zone,zone_label
0,0.0,1,1525.8,433.9,billing_counter,Billing / Consultation Counter
0,0.0,2,883.6,706.6,central_display,Central Product Display
1,0.033,1,1525.8,433.9,billing_counter,Billing / Consultation Counter
1,0.033,2,883.6,706.6,central_display,Central Product Display
2,0.067,1,1525.8,433.9,billing_counter,Billing / Consultation Counter
2,0.067,2,883.6,706.6,central_display,Central Product Display
3,0.1,1,1526.1,434.1,billing_counter,Billing / Consultation Counter
3,0.1,2,883.9,705.7,central_display,Central Product Display
4,0.133,1,1526.5,434.1,billing_counter,Billing / Consultation Counter
4,0.133,2,884.6,705.4,central_display,Central Product Display
5,0.167,1,1526.4,434.7,billing_counter,Billing / Consultation Counter
5,0.167,2,885.5,704.6,central_display,Central Product Display
6,0.2,1,1526.6,434.9,billing_counter,Billing / Consultation Counter
6,0.2,2,892.0,703.7,central_display,Central Product Display
7,0.234,1,1526.7,435.0,billing_counter,Billing / Consultation Counter
7,0.234,2,894.3,703.5,central_display,Central Product Display
8,0.267,1,1526.8,435.2,billing_counter,Billing / Consultation Counter
8,0.267,2,895.1,703.5,central_display,Central Product Display
9,0.3,1,1527.5,435.1,billing_counter,Billing / Consultation Counter
9,0.3,2,898.3,701.2,central_display,Central Product Display
10,0.334,1,1527.3,435.0,billing_counter,Billing / Consultation Counter
10,0.334,2,900.6,699.4,central_display,Central Product Display
11,0.367,1,1526.9,434.8,billing_counter,Billing / Consultation Counter
11,0.367,2,902.1,698.0,central_display,Central Product Display
12,0.4,1,1527.2,434.8,billing_counter,Billing / Consultation Counter
12,0.4,2,901.8,696.9,central_display,Central Product Display
13,0.434,1,1526.7,434.6,billing_counter,Billing / Consultation Counter
13,0.434,2,901.7,696.6,central_display,Central Product Display
14,0.467,1,1526.2,434.6,billing_counter,Billing / Consultation Counter
14,0.467,2,902.9,696.2,central_display,Central Product Display
15,0.501,1,1525.9,434.7,billing_counter,Billing / Consultation Counter
15,0.501,2,897.9,696.0,central_display,Central Product Display
16,0.534,1,1526.4,434.6,billing_counter,Billing / Consultation Counter
16,0.534,2,894.1,696.4,central_display,Central Product Display
17,0.567,1,1526.9,434.1,billing_counter,Billing / Consultation Counter
17,0.567,2,895.9,694.5,central_display,Central Product Display
18,0.601,1,1527.1,434.0,billing_counter,Billing / Consultation Counter
18,0.601,2,893.4,694.3,central_display,Central Product Display
19,0.634,1,1527.1,433.9,billing_counter,Billing / Consultation Counter
19,0.634,2,892.4,694.3,central_display,Central Product Display
20,0.667,1,1527.1,433.8,billing_counter,Billing / Consultation Counter
20,0.667,2,894.0,692.6,central_display,Central Product Display
21,0.701,1,1527.1,433.8,billing_counter,Billing / Consultation Counter
21,0.701,2,897.8,692.0,central_display,Central Product Display
22,0.734,1,1527.2,433.9,billing_counter,Billing / Consultation Counter
22,0.734,2,897.3,690.1,central_display,Central Product Display
23,0.767,1,1527.3,434.2,billing_counter,Billing / Consultation Counter
23,0.767,2,897.3,688.7,central_display,Central Product Display
24,0.801,1,1527.1,434.4,billing_counter,Billing / Consultation Counter
24,0.801,2,898.3,688.2,central_display,Central Product Display
25,0.834,1,1527.1,434.4,billing_counter,Billing / Consultation Counter
25,0.834,2,898.6,688.1,central_display,Central Product Display
26,0.868,1,1527.4,434.5,billing_counter,Billing / Consultation Counter
26,0.868,2,899.2,688.1,central_display,Central Product Display
27,0.901,1,1527.3,434.6,billing_counter,Billing / Consultation Counter
27,0.901,2,903.0,688.0,central_display,Central Product Display
28,0.934,1,1527.5,434.5,billing_counter,Billing / Consultation Counter
28,0.934,2,904.5,687.8,central_display,Central Product Display
29,0.968,1,1526.7,434.2,billing_counter,Billing / Consultation Counter
29,0.968,2,910.5,687.3,central_display,Central Product Display
30,1.001,1,1525.9,434.3,billing_counter,Billing / Consultation Counter
30,1.001,2,910.9,687.7,central_display,Central Product Display
31,1.034,1,1525.7,434.4,billing_counter,Billing / Consultation Counter
31,1.034,2,910.9,687.9,central_display,Central Product Display
32,1.068,1,1525.4,434.6,billing_counter,Billing / Consultation Counter
32,1.068,2,915.5,689.0,central_display,Central Product Display
33,1.101,1,1525.5,435.0,billing_counter,Billing / Consultation Counter
33,1.101,2,910.8,690.4,central_display,Central Product Display
34,1.134,1,1526.1,435.2,billing_counter,Billing / Consultation Counter
34,1.134,2,910.0,690.8,central_display,Central Product Display
35,1.168,1,1526.5,435.3,billing_counter,Billing / Consultation Counter
35,1.168,2,915.0,691.7,central_display,Central Product Display
36,1.201,1,1526.9,435.4,billing_counter,Billing / Consultation Counter
36,1.201,2,912.7,692.6,central_display,Central Product Display
37,1.235,1,1527.0,435.4,billing_counter,Billing / Consultation Counter
37,1.235,2,911.8,692.9,central_display,Central Product Display
38,1.268,1,1525.5,435.7,billing_counter,Billing / Consultation Counter
38,1.268,2,925.9,692.0,central_display,Central Product Display
39,1.301,1,1524.9,435.6,billing_counter,Billing / Consultation Counter
39,1.301,2,931.1,691.0,central_display,Central Product Display
40,1.335,1,1524.6,435.6,billing_counter,Billing / Consultation Counter
40,1.335,2,928.3,690.3,central_display,Central Product Display
41,1.368,1,1525.0,435.6,billing_counter,Billing / Consultation Counter
41,1.368,2,935.2,689.1,central_display,Central Product Display
42,1.401,1,1524.7,435.5,billing_counter,Billing / Consultation Counter
42,1.401,2,933.9,689.8,central_display,Central Product Display
43,1.435,1,1524.5,435.5,billing_counter,Billing / Consultation Counter
43,1.435,2,933.3,690.1,central_display,Central Product Display
44,1.468,1,1523.6,435.5,billing_counter,Billing / Consultation Counter
44,1.468,2,941.0,690.4,central_display,Central Product Display
45,1.502,1,1524.9,435.8,billing_counter,Billing / Consultation Counter
45,1.502,2,934.6,689.1,central_display,Central Product Display
46,1.535,1,1524.4,436.2,billing_counter,Billing / Consultation Counter
46,1.535,2,932.4,688.1,central_display,Central Product Display
47,1.568,1,1524.8,436.5,billing_counter,Billing / Consultation Counter
47,1.568,2,941.2,687.6,central_display,Central Product Display
48,1.602,1,1524.1,436.3,billing_counter,Billing / Consultation Counter
48,1.602,2,944.7,688.9,central_display,Central Product Display
